campaign_id,campaign_name,channel,start_date,end_date,budget_usd,target_audience,target_region,impressions,clicks,signups_attributed,spend_usd
CMP0020,Organic - Q3 2023,Organic,2023-12-14,2024-02-18,221175,K-Drama Fans,EMEA,3854805,122284,9714,217781.6
CMP0021,Influencer - Q1 2025,Influencer,2024-03-02,2024-05-26,491455,35-50 Families,APAC,1637363,105476,3651,479121.64
CMP0022,Email - Q2 2022,Email,2023-08-10,2023-09-29,111219,K-Drama Fans,North America,583317,45514,4663,93899.21
CMP0023,Organic - Q3 2025,Organic,2022-10-16,2022-11-16,141891,50+ General,LATAM,3092481,139322,7110,113301.15
CMP0024,TikTok - Q2 2024,TikTok,2026-01-05,2026-03-24,207221,Sports Fans,APAC,4584258,92019,3164,178340.7
CMP0025,Affiliate - Q3 2023,Affiliate,2025-05-20,2025-07-23,496369,50+ General,APAC,4877018,53527,6000,473818.04
CMP0026,Google Ads - Q3 2023,Google Ads,2024-10-14,2024-12-22,427434,25-34 Young Professionals,EMEA,1189559,31018,1133,382885.21
CMP0027,Influencer - Q1 2024,Influencer,2023-09-29,2023-10-25,22173,Anime Fans,LATAM,1220454,23466,1137,20871.83
CMP0028,TV/OTT - Q3 2023,TV/OTT,2025-07-24,2025-09-03,120800,K-Drama Fans,LATAM,235192,13508,477,103865.86
CMP0029,Affiliate - Q1 2025,Affiliate,2024-05-12,2024-07-24,411728,25-34 Young Professionals,EMEA,749247,13882,437,366386.57
CMP0030,YouTube - Q2 2025,YouTube,2023-12-03,2024-02-19,33859,Anime Fans,EMEA,2796519,127082,2810,26628.3
CMP0031,Referral - Q1 2022,Referral,2023-12-14,2024-02-02,428557,25-34 Young Professionals,LATAM,2756676,161536,4125,394472.98
CMP0032,Organic - Q2 2022,Organic,2022-12-26,2023-03-12,144285,Anime Fans,North America,1886065,95582,3580,109760.68
CMP0033,Affiliate - Q2 2023,Affiliate,2022-05-26,2022-08-12,459237,Anime Fans,North America,1584279,37997,962,417189.0
CMP0034,Affiliate - Q4 2023,Affiliate,2024-05-26,2024-07-12,150328,50+ General,APAC,4157459,275592,21803,144046.65
CMP0035,Google Ads - Q4 2025,Google Ads,2025-11-04,2026-01-25,219986,Anime Fans,LATAM,2327167,139812,12313,162708.43
CMP0036,Influencer - Q3 2024,Influencer,2022-04-11,2022-05-21,332648,25-34 Young Professionals,LATAM,4050844,250054,14843,294165.26
CMP0037,Affiliate - Q2 2025,Affiliate,2025-09-18,2025-10-24,67508,18-24 Students,LATAM,4817898,92378,4785,49181.52
CMP0038,TV/OTT - Q2 2025,TV/OTT,2025-08-01,2025-10-07,280730,18-24 Students,APAC,1619837,30230,2129,257630.04
CMP0039,Influencer - Q1 2026,Influencer,2023-03-14,2023-05-17,254982,50+ General,North America,1053554,78942,8486,184950.67
CMP0040,Email - Q4 2023,Email,2024-09-25,2024-10-24,393029,K-Drama Fans,North America,4766852,180332,18955,385475.75
CMP0041,Referral - Q4 2023,Referral,2022-09-19,2022-12-06,498072,18-24 Students,LATAM,3192413,99176,2414,369182.11
CMP0042,TV/OTT - Q4 2026,TV/OTT,2025-04-13,2025-05-16,333835,50+ General,LATAM,1490043,65861,2512,329716.84
CMP0043,Organic - Q4 2022,Organic,2025-01-12,2025-03-29,207547,Sports Fans,EMEA,3128206,176432,7705,195149.23
CMP0044,Influencer - Q3 2022,Influencer,2023-07-15,2023-08-04,206161,25-34 Young Professionals,LATAM,2599532,199887,8982,181030.92
CMP0045,YouTube - Q1 2025,YouTube,2022-04-18,2022-07-02,211889,Anime Fans,LATAM,4532384,136203,10504,198071.13
CMP0046,Affiliate - Q4 2026,Affiliate,2026-03-15,2026-05-29,407940,35-50 Families,APAC,1317027,98430,6065,382865.74
CMP0047,Referral - Q3 2022,Referral,2023-12-06,2024-02-18,164001,Anime Fans,North America,4957344,58200,1450,161345.52
CMP0048,Referral - Q2 2022,Referral,2025-11-13,2026-01-18,87651,Sports Fans,EMEA,4683415,228849,13127,68018.49
CMP0049,TikTok - Q3 2025,TikTok,2024-12-07,2025-01-29,170474,50+ General,EMEA,944474,51358,3717,149509.58
CMP0050,Email - Q1 2024,Email,2025-05-15,2025-07-23,16242,25-34 Young Professionals,LATAM,864808,15058,454,11832.54
CMP0051,Influencer - Q4 2024,Influencer,2025-04-16,2025-05-25,57540,50+ General,APAC,2689126,53308,5509,50914.25
CMP0052,TikTok - Q2 2026,TikTok,2022-11-04,2023-01-17,49573,Anime Fans,LATAM,272307,10712,269,37248.53
CMP0053,Affiliate - Q1 2022,Affiliate,2023-07-30,2023-09-26,386918,18-24 Students,APAC,1529049,118709,13352,336419.47
CMP0054,Email - Q1 2025,Email,2024-01-08,2024-02-29,362567,Anime Fans,LATAM,2203730,113983,3409,316060.22
CMP0055,TV/OTT - Q4 2024,TV/OTT,2024-02-27,2024-04-22,349901,50+ General,EMEA,4848397,365140,38105,293845.3
CMP0056,TikTok - Q4 2023,TikTok,2022-03-11,2022-05-09,233629,Anime Fans,EMEA,4962259,329023,36279,200170.88
CMP0057,Google Ads - Q3 2025,Google Ads,2024-05-14,2024-06-05,359943,Sports Fans,APAC,800122,34178,4031,334450.76
CMP0058,Organic - Q2 2024,Organic,2022-09-01,2022-09-30,84829,50+ General,LATAM,4463802,289850,29043,79720.04
CMP0059,YouTube - Q2 2026,YouTube,2025-03-21,2025-04-27,450807,35-50 Families,LATAM,500097,5625,550,382124.73
CMP0060,Email - Q2 2024,Email,2024-12-15,2025-01-12,253017,Sports Fans,North America,3755609,66249,5581,222624.1
